;amar;Jeová;batismo;anjos;Jesus;Cristo;Abraão;Cruz;sacerdote;mandamento;templo;egito
genesis.txt;0;0;0;9,37833E-06;0;0;0,000311829;0;9,37833E-06;0;0;0,000180533
exodo.txt;0;0,000325734;0;0;0;0;2,48589E-05;0;2,20968E-05;1,22853E-05;0;0,00032869
mateus.txt;1,50102E-05;0;3,00204E-05;5,13267E-05;0,001615597;0,000149267;2,76374E-05;7,50511E-05;3,15856E-05;2,63413E-05;8,78042E-05;1,57928E-05
marcos.txt;2,40747E-05;0;9,62988E-05;3,16624E-05;0,001858929;9,85796E-05;6,33247E-06;0,000120373;5,69923E-05;5,63312E-05;0,000112662;0
joao.txt;1,60587E-05;0;3,21174E-05;2,53439E-05;0,001132885;0,000911193;4,39295E-05;5,13878E-05;4,22399E-05;6,19987E-05;7,70287E-05;1,52064E-05
apocalipse.txt;0;0;0;0,00016844;0,000228013;0,000114007;0;0;0;0;1,62866E-05;7,32346E-06
